Temperature (C),"	Year", Month, Country
26.006542,1937,7,GHA
26.12617,1937,8,GHA
26.19159,1937,9,GHA
27.29159,1937,10,GHA
28.609344,1937,11,GHA
27.882242,1937,12,GHA
27.815887,1938,1,GHA
30.707478,1938,2,GHA
30.121496,1938,3,GHA
30.345795,1938,4,GHA
29.428036,1938,5,GHA
28.132711,1938,6,GHA
26.22617,1938,7,GHA
25.555141,1938,8,GHA
26.447662,1938,9,GHA
28.21402,1938,10,GHA
28.624298,1938,11,GHA
28.138317,1938,12,GHA
28.058878,1939,1,GHA
28.880375,1939,2,GHA
30.045795,1939,3,GHA
30.028973,1939,4,GHA
28.826168,1939,5,GHA
27.071026,1939,6,GHA
26.31215,1939,7,GHA
25.583178,1939,8,GHA
26.058878,1939,9,GHA
27.735514,1939,10,GHA
28.592524,1939,11,GHA
27.727102,1939,12,GHA
26.866354,1940,1,GHA
28.872898,1940,2,GHA
29.456076,1940,3,GHA
29.15327,1940,4,GHA
28.206543,1940,5,GHA
26.680374,1940,6,GHA
25.646729,1940,7,GHA
25.35701,1940,8,GHA
25.830841,1940,9,GHA
26.81215,1940,10,GHA
27.236446,1940,11,GHA
26.44299,1940,12,GHA
27.635513,1941,1,GHA
29.102804,1941,2,GHA
30.604671,1941,3,GHA
29.596262,1941,4,GHA
28.858877,1941,5,GHA
27.212149,1941,6,GHA
26.217758,1941,7,GHA
26.115887,1941,8,GHA
27.062616,1941,9,GHA
28.157944,1941,10,GHA
28.12617,1941,11,GHA
27.290655,1941,12,GHA
26.928036,1942,1,GHA
29.863552,1942,2,GHA
30.15327,1942,3,GHA
29.602804,1942,4,GHA
28.105606,1942,5,GHA
27.178503,1942,6,GHA
25.84486,1942,7,GHA
25.223364,1942,8,GHA
27.061682,1942,9,GHA
27.262615,1942,10,GHA
27.854206,1942,11,GHA
26.394394,1942,12,GHA
26.760748,1943,1,GHA
29.006542,1943,2,GHA
29.22617,1943,3,GHA
28.929907,1943,4,GHA
27.446728,1943,5,GHA
26.3514,1943,6,GHA
25.525234,1943,7,GHA
25.225233,1943,8,GHA
25.998133,1943,9,GHA
26.998133,1943,10,GHA
27.37757,1943,11,GHA
27.166355,1943,12,GHA
26.461681,1944,1,GHA
28.52243,1944,2,GHA
29.323364,1944,3,GHA
29.047663,1944,4,GHA
29.311214,1944,5,GHA
27.000935,1944,6,GHA
26.278503,1944,7,GHA
25.91215,1944,8,GHA
26.596262,1944,9,GHA
27.671026,1944,10,GHA
27.589718,1944,11,GHA
27.110281,1944,12,GHA
27.443924,1945,1,GHA
28.546728,1945,2,GHA
29.176636,1945,3,GHA
29.109344,1945,4,GHA
28.494394,1945,5,GHA
26.928974,1945,6,GHA
26.003738,1945,7,GHA
25.570093,1945,8,GHA
26.699066,1945,9,GHA
26.728037,1945,10,GHA
27.300934,1945,11,GHA
26.071026,1945,12,GHA
27.245794,1946,1,GHA
28.823364,1946,2,GHA
29.97757,1946,3,GHA
29.316822,1946,4,GHA
28.145794,1946,5,GHA
25.954205,1946,6,GHA
25.499065,1946,7,GHA
24.862617,1946,8,GHA
25.706543,1946,9,GHA
25.94299,1946,10,GHA
27.362616,1946,11,GHA
26.053272,1946,12,GHA
26.532711,1947,1,GHA
30.262615,1947,2,GHA
29.19159,1947,3,GHA
29.069159,1947,4,GHA
28.994394,1947,5,GHA
26.97757,1947,6,GHA
25.901867,1947,7,GHA
25.947662,1947,8,GHA
26.167288,1947,9,GHA
26.980373,1947,10,GHA
26.752338,1947,11,GHA
26.514019,1947,12,GHA
26.166355,1948,1,GHA
28.58318,1948,2,GHA
29.31402,1948,3,GHA
28.604671,1948,4,GHA
27.557943,1948,5,GHA
25.831776,1948,6,GHA
25.635513,1948,7,GHA
25.54112,1948,8,GHA
26.194393,1948,9,GHA
27.37383,1948,10,GHA
26.985046,1948,11,GHA
26.509344,1948,12,GHA
27.20841,1949,1,GHA
28.728973,1949,2,GHA
30.06542,1949,3,GHA
29.4,1949,4,GHA
28.202805,1949,5,GHA
26.855139,1949,6,GHA
26.222431,1949,7,GHA
25.548597,1949,8,GHA
26.442057,1949,9,GHA
27.499065,1949,10,GHA
27.707478,1949,11,GHA
26.518692,1949,12,GHA
27.266354,1950,1,GHA
28.32243,1950,2,GHA
29.030842,1950,3,GHA
28.803738,1950,4,GHA
28.37944,1950,5,GHA
26.65327,1950,6,GHA
25.514954,1950,7,GHA
25.01215,1950,8,GHA
25.768225,1950,9,GHA
26.473831,1950,10,GHA
26.72617,1950,11,GHA
26.08785,1950,12,GHA
27.224298,1951,1,GHA
28.967289,1951,2,GHA
29.212149,1951,3,GHA
29.441122,1951,4,GHA
27.981308,1951,5,GHA
27.107477,1951,6,GHA
25.635513,1951,7,GHA
25.795328,1951,8,GHA
26.13084,1951,9,GHA
26.356075,1951,10,GHA
26.74299,1951,11,GHA
26.236446,1951,12,GHA
26.906544,1952,1,GHA
28.530842,1952,2,GHA
29.329906,1952,3,GHA
29.603739,1952,4,GHA
27.982243,1952,5,GHA
26.724298,1952,6,GHA
25.530842,1952,7,GHA
25.131777,1952,8,GHA
25.246729,1952,9,GHA
26.225235,1952,10,GHA
26.897196,1952,11,GHA
26.591589,1952,12,GHA
27.304672,1953,1,GHA
28.371964,1953,2,GHA
28.950466,1953,3,GHA
29.417759,1953,4,GHA
27.542057,1953,5,GHA
26.167288,1953,6,GHA
25.200933,1953,7,GHA
25.254206,1953,8,GHA
25.658878,1953,9,GHA
26.538319,1953,10,GHA
27.375702,1953,11,GHA
26.222431,1953,12,GHA
26.65701,1954,1,GHA
28.508411,1954,2,GHA
29.158878,1954,3,GHA
28.58785,1954,4,GHA
27.65514,1954,5,GHA
26,1954,6,GHA
24.764486,1954,7,GHA
24.86729,1954,8,GHA
25.403738,1954,9,GHA
25.988785,1954,10,GHA
27.054205,1954,11,GHA
26.580374,1954,12,GHA
26.862616,1955,1,GHA
28.562616,1955,2,GHA
28.528036,1955,3,GHA
28.311214,1955,4,GHA
27.759815,1955,5,GHA
26.013083,1955,6,GHA
24.9757,1955,7,GHA
25.097197,1955,8,GHA
25.097197,1955,9,GHA
26.15701,1955,10,GHA
26.948599,1955,11,GHA
25.780375,1955,12,GHA
26.472897,1956,1,GHA
28.770092,1956,2,GHA
28.326168,1956,3,GHA
28.56542,1956,4,GHA
27.659815,1956,5,GHA
25.763554,1956,6,GHA
24.671028,1956,7,GHA
24.9757,1956,8,GHA
25.652338,1956,9,GHA
26.41402,1956,10,GHA
27.072897,1956,11,GHA
26.056076,1956,12,GHA
25.918692,1957,1,GHA
28.057943,1957,2,GHA
29.005606,1957,3,GHA
28.969158,1957,4,GHA
27.659815,1957,5,GHA
26.272898,1957,6,GHA
25.440187,1957,7,GHA
25.317757,1957,8,GHA
25.479439,1957,9,GHA
26.094395,1957,10,GHA
27.086918,1957,11,GHA
26.750467,1957,12,GHA
27.62056,1958,1,GHA
28.363552,1958,2,GHA
29.599066,1958,3,GHA
29.03458,1958,4,GHA
27.866354,1958,5,GHA
25.721497,1958,6,GHA
25.066357,1958,7,GHA
25.272898,1958,8,GHA
25.56355,1958,9,GHA
26.897196,1958,10,GHA
27.348598,1958,11,GHA
26.468225,1958,12,GHA
27.162617,1959,1,GHA
28.882242,1959,2,GHA
29.448599,1959,3,GHA
29.43925,1959,4,GHA
27.642056,1959,5,GHA
26.531775,1959,6,GHA
25.461681,1959,7,GHA
25.166355,1959,8,GHA
25.644861,1959,9,GHA
27.04486,1959,10,GHA
27.52243,1959,11,GHA
26.22617,1959,12,GHA
26.920559,1960,1,GHA
28.77944,1960,2,GHA
28.9,1960,3,GHA
28.297195,1960,4,GHA
28.123363,1960,5,GHA
26.174765,1960,6,GHA
25.503738,1960,7,GHA
25.379438,1960,8,GHA
25.81215,1960,9,GHA
26.55514,1960,10,GHA
27.025234,1960,11,GHA
26.417759,1960,12,GHA
26.681309,1961,1,GHA
27.932713,1961,2,GHA
29.135513,1961,3,GHA
28.692524,1961,4,GHA
28.36916,1961,5,GHA
26.101868,1961,6,GHA
25.06542,1961,7,GHA
24.72617,1961,8,GHA
25.416822,1961,9,GHA
27.014019,1961,10,GHA
27.053272,1961,11,GHA
26.292522,1961,12,GHA
26.728973,1962,1,GHA
28.621496,1962,2,GHA
29.449533,1962,3,GHA
28.635513,1962,4,GHA
27.539251,1962,5,GHA
25.7,1962,6,GHA
25.576635,1962,7,GHA
24.794392,1962,8,GHA
25.479439,1962,9,GHA
26.535513,1962,10,GHA
27.145794,1962,11,GHA
26.05701,1962,12,GHA
27.107477,1963,1,GHA
29.067287,1963,2,GHA
28.905605,1963,3,GHA
28.646729,1963,4,GHA
27.789719,1963,5,GHA
26.864487,1963,6,GHA
26.06542,1963,7,GHA
26.003738,1963,8,GHA
26.43458,1963,9,GHA
26.501867,1963,10,GHA
26.914953,1963,11,GHA
26.53458,1963,12,GHA
26.76916,1964,1,GHA
28.785046,1964,2,GHA
29.504673,1964,3,GHA
28.784113,1964,4,GHA
27.631775,1964,5,GHA
26.097195,1964,6,GHA
25.043926,1964,7,GHA
24.715887,1964,8,GHA
25.22617,1964,9,GHA
25.954205,1964,10,GHA
26.711216,1964,11,GHA
26.267288,1964,12,GHA
26.788784,1965,1,GHA
28.628973,1965,2,GHA
29.213083,1965,3,GHA
28.538319,1965,4,GHA
27.564487,1965,5,GHA
26.193457,1965,6,GHA
25.383177,1965,7,GHA
25.039251,1965,8,GHA
25.76916,1965,9,GHA
26.88598,1965,10,GHA
27.22617,1965,11,GHA
26.1,1965,12,GHA
26.97944,1966,1,GHA
28.581308,1966,2,GHA
29.471027,1966,3,GHA
29.039251,1966,4,GHA
28.267288,1966,5,GHA
26.411215,1966,6,GHA
26.23084,1966,7,GHA
25.642056,1966,8,GHA
25.833645,1966,9,GHA
26.953272,1966,10,GHA
27.586918,1966,11,GHA
26.698132,1966,12,GHA
26.23458,1967,1,GHA
28.689718,1967,2,GHA
28.903738,1967,3,GHA
28.835514,1967,4,GHA
28.121496,1967,5,GHA
26.263554,1967,6,GHA
25.18972,1967,7,GHA
25.185982,1967,8,GHA
25.500935,1967,9,GHA
26.641123,1967,10,GHA
27.17944,1967,11,GHA
26.696262,1967,12,GHA
26.349533,1968,1,GHA
28.863552,1968,2,GHA
28.992523,1968,3,GHA
28.249533,1968,4,GHA
27.826168,1968,5,GHA
26.352337,1968,6,GHA
25.943924,1968,7,GHA
26.461681,1968,8,GHA
25.917759,1968,9,GHA
27.113083,1968,10,GHA
27.301868,1968,11,GHA
27.084112,1968,12,GHA
27.103739,1969,1,GHA
29.462616,1969,2,GHA
29.728037,1969,3,GHA
29.693457,1969,4,GHA
28.62617,1969,5,GHA
26.959814,1969,6,GHA
25.63084,1969,7,GHA
25.518692,1969,8,GHA
25.770092,1969,9,GHA
26.52243,1969,10,GHA
26.894394,1969,11,GHA
27.128973,1969,12,GHA
27.457943,1970,1,GHA
29.299067,1970,2,GHA
29.754206,1970,3,GHA
29.673832,1970,4,GHA
27.85701,1970,5,GHA
27.182241,1970,6,GHA
25.42056,1970,7,GHA
25.217756,1970,8,GHA
25.527103,1970,9,GHA
27.176636,1970,10,GHA
26.855139,1970,11,GHA
26.298132,1970,12,GHA
26.135513,1971,1,GHA
28.343924,1971,2,GHA
28.657944,1971,3,GHA
28.576635,1971,4,GHA
27.759815,1971,5,GHA
26.166355,1971,6,GHA
25.0243,1971,7,GHA
24.39159,1971,8,GHA
24.951403,1971,9,GHA
26.280375,1971,10,GHA
26.92243,1971,11,GHA
25.719625,1971,12,GHA
26.640186,1972,1,GHA
28.728973,1972,2,GHA
28.937384,1972,3,GHA
28.21402,1972,4,GHA
27.41682,1972,5,GHA
26.198132,1972,6,GHA
25.629908,1972,7,GHA
24.926168,1972,8,GHA
25.721497,1972,9,GHA
26.519627,1972,10,GHA
27.121496,1972,11,GHA
26.632711,1972,12,GHA
27.311214,1973,1,GHA
29.759815,1973,2,GHA
29.600933,1973,3,GHA
29.546728,1973,4,GHA
28.508411,1973,5,GHA
26.775702,1973,6,GHA
25.911215,1973,7,GHA
25.318691,1973,8,GHA
25.570093,1973,9,GHA
26.78598,1973,10,GHA
27.08318,1973,11,GHA
26.307476,1973,12,GHA
26.189718,1974,1,GHA
28.51682,1974,2,GHA
29.028973,1974,3,GHA
28.801868,1974,4,GHA
27.782242,1974,5,GHA
26.365421,1974,6,GHA
25.237383,1974,7,GHA
25.259813,1974,8,GHA
25.050467,1974,9,GHA
26.183178,1974,10,GHA
26.815887,1974,11,GHA
25.578505,1974,12,GHA
25.94486,1975,1,GHA
28.21402,1975,2,GHA
29.014954,1975,3,GHA
28.478504,1975,4,GHA
27.556076,1975,5,GHA
26.445795,1975,6,GHA
25.04299,1975,7,GHA
24.711216,1975,8,GHA
24.921495,1975,9,GHA
26.245794,1975,10,GHA
26.919626,1975,11,GHA
26.262615,1975,12,GHA
26.42243,1976,1,GHA
28.089718,1976,2,GHA
28.784113,1976,3,GHA
28.484112,1976,4,GHA
27.402805,1976,5,GHA
25.516823,1976,6,GHA
25.085981,1976,7,GHA
24.620562,1976,8,GHA
25.464487,1976,9,GHA
25.479439,1976,10,GHA
26.254206,1976,11,GHA
26.175701,1976,12,GHA
27.109344,1977,1,GHA
28.625235,1977,2,GHA
29.640186,1977,3,GHA
29.574764,1977,4,GHA
28.150467,1977,5,GHA
26.500935,1977,6,GHA
25.706543,1977,7,GHA
24.833645,1977,8,GHA
25.700933,1977,9,GHA
26.71402,1977,10,GHA
27.261683,1977,11,GHA
26.071964,1977,12,GHA
27.175701,1978,1,GHA
29.24299,1978,2,GHA
28.746729,1978,3,GHA
28.147663,1978,4,GHA
27.521496,1978,5,GHA
25.92243,1978,6,GHA
24.794392,1978,7,GHA
24.972897,1978,8,GHA
25.336449,1978,9,GHA
26.252338,1978,10,GHA
26.573832,1978,11,GHA
26.754206,1978,12,GHA
27.568226,1979,1,GHA
28.617758,1979,2,GHA
29.621496,1979,3,GHA
29.335514,1979,4,GHA
27.888784,1979,5,GHA
25.933645,1979,6,GHA
25.486916,1979,7,GHA
25.544859,1979,8,GHA
25.739252,1979,9,GHA
26.710281,1979,10,GHA
27.056076,1979,11,GHA
25.928974,1979,12,GHA
27.033646,1980,1,GHA
28.680374,1980,2,GHA
29.26916,1980,3,GHA
29.330841,1980,4,GHA
27.637384,1980,5,GHA
26.671026,1980,6,GHA
25.288784,1980,7,GHA
25.166355,1980,8,GHA
25.980373,1980,9,GHA
26.402805,1980,10,GHA
26.742056,1980,11,GHA
25.168224,1980,12,GHA
26.45701,1981,1,GHA
29.266354,1981,2,GHA
29.62617,1981,3,GHA
29.358877,1981,4,GHA
27.795328,1981,5,GHA
27.028036,1981,6,GHA
25.468224,1981,7,GHA
25.49813,1981,8,GHA
26.02243,1981,9,GHA
27.427103,1981,10,GHA
27.432713,1981,11,GHA
27.15327,1981,12,GHA
26.85701,1982,1,GHA
28.915888,1982,2,GHA
29.245794,1982,3,GHA
29.040186,1982,4,GHA
27.790655,1982,5,GHA
26.699066,1982,6,GHA
25.616821,1982,7,GHA
25.154205,1982,8,GHA
26.15514,1982,9,GHA
26.647663,1982,10,GHA
26.998133,1982,11,GHA
26.728973,1982,12,GHA
25.91402,1983,1,GHA
29.671026,1983,2,GHA
30.56075,1983,3,GHA
30.096262,1983,4,GHA
28.662617,1983,5,GHA
26.535513,1983,6,GHA
25.82243,1983,7,GHA
